죄종(대),죄종(중),죄종(소),발생,검거,검거인원(남),검거인원(여),불상,법인체
강력범죄,살인기수,살인,282,277,246,60,0,0
강력범죄,살인기수,영아살해,8,7,0,7,0,0
강력범죄,살인기수,존속살해,32,31,27,4,0,0
강력범죄,살인기수,촉탁·승락살인,1,1,1,0,0,0
강력범죄,살인기수,자살교사·방조,33,32,30,11,0,0
강력범죄,살인기수,위계·위력·촉탁·승락살인,0,0,0,0,0,0
강력범죄,살인기수,특가법(보복살인등),0,0,0,0,0,0
강력범죄,살인미수등,살인,527,530,523,50,3,0
강력범죄,살인미수등,영아살해,0,0,1,0,0,0
강력범죄,살인미수등,존속살해,23,22,20,6,0,0
강력범죄,살인미수등,촉탁·승락살인,0,0,0,0,0,0
강력범죄,살인미수등,자살교사·방조,8,9,13,5,0,0
강력범죄,살인미수등,위계·위력·촉탁·승락살인,0,0,0,0,0,0
강력범죄,강도,강도,213,219,190,8,2,0
강력범죄,강도,준강도,139,135,134,14,0,0
강력범죄,강도,특수강도,343,349,586,101,20,0
강력범죄,강도,준특수강도,4,5,7,0,0,0
강력범죄,강도,강도상해·치상,398,403,580,45,9,0
강력범죄,강도,강도살인·치사,22,22,27,1,0,0
강력범죄,강도,해상강도(살인·치사·상해·치상),0,0,0,0,0,0
강력범죄,강도,인질강도,10,11,28,2,13,0
강력범죄,강도,강도강간,16,20,18,0,0,0
강력범죄,강도,(특수·인질·해상)강도(상습),1,1,1,0,0,0
강력범죄,강도,특가법(강도),2,2,2,0,0,0
강력범죄,강도,특가법(강도상해재범),1,1,1,0,0,0
강력범죄,강간,강간,2151,2125,2240,19,9,0
강력범죄,강간,강간(상습),1,1,0,0,0,0
강력범죄,강간,준강간,934,922,984,2,4,0
강력범죄,강간,준강간(상습),0,0,0,0,0,0
강력범죄,강간,강간상해·치상,371,367,389,0,0,0
강력범죄,강간,강간살인·치사,4,4,3,0,0,0
강력범죄,강간,미성년자간음(심신미약자),9,10,10,0,0,0
강력범죄,강간,업무상위력에의한간음,18,18,16,0,0,0
강력범죄,강간,친족관계에의한강간,162,160,174,7,0,0
강력범죄,강간,장애인에대한강간·간음,362,353,426,3,6,0
강력범죄,강간,청소년에대한강간·간음,649,639,788,24,10,0
강력범죄,강간,미성년자의제강간,40,40,51,0,1,0
강력범죄,강간,13세미만미성년자강간·간음,86,87,100,5,0,0
강력범죄,강간,특수강간(준),220,227,484,7,3,0
강력범죄,강간,주거침입강간,120,115,126,0,0,0
강력범죄,강간,특수절도강간,3,3,3,0,0,0
강력범죄,강간,특수강도강간,25,26,22,0,0,0
강력범죄,강간,아동학대처벌법위반(상습강간·간음),0,0,0,0,0,0
강력범죄,유사강간,유사강간,306,298,302,2,2,0
강력범죄,유사강간,유사강간(상습),0,0,0,0,0,0
강력범죄,유사강간,준유사강간,48,47,51,1,0,0
강력범죄,유사강간,준유사강간(상습),0,0,0,0,0,0
강력범죄,유사강간,유사강간상해·치상,25,24,27,3,0,0
강력범죄,유사강간,유사강간살인·치사,0,0,0,0,0,0
강력범죄,유사강간,미성년자의제유사강간,2,2,2,0,0,0
강력범죄,유사강간,유사성행위,185,184,199,1,0,0
강력범죄,유사강간,주거침입유사강간,13,10,13,0,0,0
강력범죄,유사강간,특수절도유사강간,0,0,0,0,0,0
강력범죄,유사강간,특수강도유사강간,4,3,3,0,0,0
강력범죄,유사강간,아동학대처벌법위반(상습유사강간),0,0,0,0,0,0
강력범죄,강제추행,강제추행,9978,9563,9687,253,75,0
강력범죄,강제추행,강제추행(상습),14,14,15,0,0,0
강력범죄,강제추행,준강제추행,675,657,680,5,6,0
강력범죄,강제추행,준강제추행(상습),0,0,0,0,0,0
강력범죄,강제추행,강제추행상해·치상,164,157,171,4,0,0
강력범죄,강제추행,강제추행살인·치사,0,0,0,0,0,0
강력범죄,강제추행,업무상위력등에의한추행,291,290,298,7,0,0
강력범죄,강제추행,친족관계에의한강제추행,276,275,285,11,0,0
강력범죄,강제추행,장애인에대한강제추행·추행,363,353,394,3,1,0
강력범죄,강제추행,청소년에대한강제추행·추행,1549,1515,1522,35,7,0
강력범죄,강제추행,미성년자추행(심신미약자),3,3,4,0,0,0
강력범죄,강제추행,미성년자의제강제추행,9,9,12,1,0,0
강력범죄,강제추행,13세미만미성년자강제추행·추행,792,737,763,14,14,0
강력범죄,강제추행,공중밀집장소에서의추행,1722,1604,1629,11,16,0
강력범죄,강제추행,특수강제추행(준),42,40,95,17,5,0
강력범죄,강제추행,주거침입강제추행,169,162,166,0,3,0
강력범죄,강제추행,특수절도강제추행,7,5,5,0,1,0
강력범죄,강제추행,특수강도강제추행,0,0,0,0,0,0
강력범죄,강제추행,아동학대처벌법위반(상습강제추행·추행),0,0,0,0,0,0
강력범죄,기타 강간·강제추행등,강간등상해·치상,130,128,159,1,1,0
강력범죄,기타 강간·강제추행등,강간등살인·치사,4,4,5,0,0,0
강력범죄,기타 강간·강제추행등,친족관계에의한강간등,0,0,0,0,0,0
강력범죄,기타 강간·강제추행등,장애인에대한준강간등,32,31,35,0,0,0
강력범죄,기타 강간·강제추행등,청소년에대한강간등,154,156,225,5,0,0
강력범죄,기타 강간·강제추행등,미성년자의제강간등,0,0,0,0,0,0
강력범죄,기타 강간·강제추행등,13세미만미성년자강간등,20,19,31,1,1,0
강력범죄,기타 강간·강제추행등,주거침입강간등,40,42,40,0,1,0
강력범죄,기타 강간·강제추행등,특수절도강간등,1,1,1,0,0,0
강력범죄,기타 강간·강제추행등,특수강도강간등,26,27,28,0,0,0
강력범죄,기타 강간·강제추행등,성폭력범죄의처벌및피해자보호등에관한법률위반,1,0,0,0,1,0
강력범죄,방화,방화,0,0,0,0,0,0
강력범죄,방화,현주·공용건조물등방화,896,854,696,156,0,0
강력범죄,방화,현주건조물등방화치상,23,22,20,4,0,0
강력범죄,방화,현주건조물등방화치사,15,13,12,1,2,0
강력범죄,방화,일반건조물등방화,392,314,290,45,9,0
강력범죄,방화,자기소유건조물등방화,27,28,24,3,0,0
강력범죄,방화,방화연소,24,17,18,0,0,0
강력범죄,방화,진화방해,0,0,0,0,0,0
강력범죄,방화,폭발성물건파열(치사·상),11,10,9,2,0,1
강력범죄,방화,폭발성물건파열(과실),22,21,31,4,0,1
강력범죄,방화,가스등방출(치사·상),33,30,23,7,0,0
강력범죄,방화,가스등방출(과실),1,1,1,1,0,0
강력범죄,방화,가스등공급사용방해(치사·상),5,2,3,0,1,0
강력범죄,방화,가스등공급사용방해(과실),8,8,14,0,1,0
강력범죄,방화,자동차방화,45,43,39,3,0,0
절도범죄,절도범죄,절도,175765,93400,56774,20448,1232,1
절도범죄,절도범죄,절도(상습),3123,3250,1169,179,1,0
절도범죄,절도범죄,특수절도,15506,14549,21302,3843,245,1
절도범죄,절도범죄,특수절도(상습),449,484,156,10,1,0
절도범죄,절도범죄,야간주거침입절도,7065,5929,2943,166,18,0
절도범죄,절도범죄,야간주거침입절도(상습),276,275,72,2,0,0
절도범죄,절도범죄,불법사용,518,419,653,27,5,0
절도범죄,절도범죄,불법사용(상습),1,1,1,0,0,0
절도범죄,절도범죄,특가법(절도),334,290,154,15,1,0
절도범죄,절도범죄,특가법(단체등의조직),0,0,0,0,0,0
폭력범죄,상해,상해,49368,48092,55489,10040,377,1
폭력범죄,상해,상해(중),77,74,87,3,11,0
폭력범죄,상해,상해(상습),34,34,29,2,0,0
폭력범죄,상해,상해(상습중),0,0,0,0,0,0
폭력범죄,상해,상해치사,59,58,68,12,1,0
폭력범죄,상해,존속상해,368,364,313,108,0,0
폭력범죄,상해,존속상해(중),1,1,1,0,0,0
폭력범죄,상해,존속상해(상습),1,1,1,0,0,0
폭력범죄,상해,존속상해(상습중),0,0,0,0,0,0
폭력범죄,상해,존속상해치사,10,10,11,0,0,0
폭력범죄,상해,특가법(보복상해등),53,51,50,5,0,0
